"시설번호","시설유형코드","시도명","시군구명","시군구코드","소재지도로명주소","소재지지번주소","위도","경도","상세위치","안전센터명","보호틀유무","사용가능여부","설치년도","배관깊이","출수압력","배관지름","관할소방서명","관할소방서전화번호","데이터기준일자","제공기관코드","제공기관명"
"4-1-025","01","경상남도","양산시","48330","경상남도 양산시 하북면 초산2길 1","경상남도 양산시 하북면 초산리 322-11","35.48379555","129.0869089","금호빌라 옆 맛고을 앞","하북안전센터","N","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-024","01","경상남도","양산시","48330","경상남도 양산시 하북면 용연로 53","경상남도 양산시 하북면 용연리 440-8","35.44413624","129.0742354983","정은종합수퍼인근","하북안전센터","N","Y","2002","1","3.1","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-023","01","경상남도","양산시","48330","경상남도 양산시 상북면 상북중앙로 435","경상남도 양산시 상북면 석계리 32-39","35.42130062","129.064782","임진강식당 옆","하북안전센터","N","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-022","01","경상남도","양산시","48330","경상남도 양산시 상북면 상북중앙로 300","경상남도 양산시 상북면 석계리 498-1","35.41044263","129.0591341","한영아파트 앞","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-021","01","경상남도","양산시","48330","경상남도 양산시 상북면 상북중앙로 407","경상남도 양산시 상북면 석계리 34-42 평화약국","35.41922125","129.0637069","석계시장 입구","하북안전센터","N","Y","2002","1","3.4","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-020","01","경상남도","양산시","48330","경상남도 양산시 하북면 통도2길 6","경상남도 양산시 하북면 순지리 829-10","35.4928702","129.0894382","통도사유치원 뒤편 골목","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-019","01","경상남도","양산시","48330","경상남도 양산시 하북면 통도사로 66","경상남도 양산시 하북면 순지리 813-9","35.49398167","129.0832545","궁전모텔 맞은편","하북안전센터","N","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-018","01","경상남도","양산시","48330","경상남도 양산시 하북면 진목로 18","경상남도 양산시 하북면 백록리 967-20","35.46252151","129.0816091","방주교회앞","하북안전센터","N","Y","2002","1","3.1","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-017","01","경상남도","양산시","48330","경상남도 양산시 하북면 양산대로 2255-38","경상남도 양산시 하북면 백록리 932-5","35.46313828","129.0801741","하북119안전센터내","하북안전센터","N","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-016","01","경상남도","양산시","48330","경상남도 양산시 상북면 반회서8길 11","경상남도 양산시 상북면 석계리 122","35.41665141","129.0603385","상북초등학교 입구","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-015","01","경상남도","양산시","48330","경상남도 양산시 상북면 반회서3길 18","경상남도 양산시 상북면 석계리 246-5","35.41214327","129.0577149","아이아띠유치원 입구","하북안전센터","N","Y","2002","1","3.4","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-002","01","경상남도","양산시","48330","경상남도 양산시 동면 남양산2길 58","경상남도 양산시 동면 석산리 1439-5 (주)한에프에이","35.32528596","129.0282267","한에프에이( 양산시 동면 남양산2길 58)","중부안전센터","N","Y","2002","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-001","01","경상남도","양산시","48330","경상남도 양산시 동면 남양산1길 60","경상남도 양산시 동면 석산리 1441-4","35.32380912","129.0296515","한국목재(양산시 동면 남양산1길 60)","중부안전센터","N","Y","2002","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-3-003","04","경상남도","양산시","48330","경상남도 양산시 상북면 석계리 상북중앙로 445","경상남도 양산시 상북면 석계리 7","35.4225684675","129.0648701724","동우강변타워 2차아파트 앞","하북안전센터","N","Y","2002","1","0","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-3-002","04","경상남도","양산시","48330","경상남도 양산시 하북면 순지리 통도5길 17","경상남도 양산시 하북면 순지리 817-1","35.49477404","129.0853482","JJ빌 사거리 우측","하북안전센터","N","Y","2002","1","0","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-3-001","04","경상남도","양산시","48330","경상남도 양산시 하북면 양산대로 2255-38","경상남도 양산시 하북면 백록리 932-5 하북119안전센터","35.46313828","129.0801741","하북119안전센터내","하북안전센터","N","Y","2002","1","0","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-067","01","경상남도","양산시","48330","경상남도 양산시 하북면 새주소없음","경상남도 양산시 하북면 용연리 1168-11","35.4466123750","129.0831741916","용연택지 내","하북안전센터","N","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-012","01","경상남도","양산시","48330","경상남도 양산시 상북면 수서로 54-6","경상남도 양산시 상북면 상삼리 413-1","35.42522084","129.0604395","한솔꽃집 앞","하북안전센터","N","Y","2002","1","3.1","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-011","01","경상남도","양산시","48330","경상남도 양산시 상북면 석계로 77","경상남도 양산시 상북면 석계리 316-4","35.4117139","129.0631915","청테크 앞 마을회관 200m 전방","하북안전센터","N","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-064","01","경상남도","양산시","48330","경상남도 양산시 하북면 삼리4길 4-5","경상남도 양산시 하북면 용연리 1163-4","35.4468983913","129.0818573","용연택지 내","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-063","01","경상남도","양산시","48330","경상남도 양산시 하북면 지산마을 1길 14","경상남도 양산시 하북면 지산리 542","35.49822157","129.064713","지산마을 경로당 앞","하북안전센터","N","Y","2002","1","3.4","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-062","01","경상남도","양산시","48330","경상남도 양산시 하북면 지산마을2길 12","경상남도 양산시 하북면 지산리 837-2","35.49804377","129.068358","지산마을 경로당 앞","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-061","01","경상남도","양산시","48330","경상남도 양산시 하북면 지산로 99","경상남도 양산시 하북면 지산리 182-5","35.49747979","129.0760084","서리마을회관","하북안전센터","N","Y","2002","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-060","01","경상남도","양산시","48330","경상남도 양산시 하북면 서리마을2길 46","경상남도 양산시 하북면 지산리 97","35.500617","129.0727877","서리마을 전원주택지","하북안전센터","Y","Y","2002","1","3.1","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-059","01","경상남도","양산시","48330","경상남도 양산시 하북면 양산대로 2627","경상남도 양산시 하북면 순지리 829-2 현대자동차그린서비스","35.49324543","129.0899345","현대블루서비스 옆","하북안전센터","Y","Y","2019","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-058","01","경상남도","양산시","48330","경상남도 양산시 하북면 통도5길 14","경상남도 양산시 하북면 순지리 817-9","35.49450447","129.0852564","아이리스빌 앞","하북안전센터","Y","Y","2019","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-057","01","경상남도","양산시","48330","경상남도 양산시 하북면 통도사로 42","경상남도 양산시 하북면 순지리 819-7 GS25","35.4934107","129.0856054","GS25 양산하북점 앞","하북안전센터","Y","Y","2019","1","3.4","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-056","01","경상남도","양산시","48330","경상남도 양산시 하북면 지곡2길 12-2","경상남도 양산시 하북면 초산리 17-2","35.49051658","129.0826899","지곡교","하북안전센터","N","Y","2018","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-055","01","경상남도","양산시","48330","경상남도 양산시 하북면 용연로 55","경상남도 양산시 하북면 용연리 440-8 정은종합슈퍼","35.44413624","129.0742981638","내원삼거리 용연마을 버스정류장","하북안전센터","N","Y","2017","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-054","01","경상남도","양산시","48330","경상남도 양산시 하북면 성천길 66-1","경상남도 양산시 하북면 답곡리 621-5","35.48044345","129.0902573","성천마을회관 옆 130m","하북안전센터","N","Y","2017","1","3.1","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-053","01","경상남도","양산시","48330","경상남도 양산시 하북면 성천길 56","경상남도 양산시 하북면 답곡리 771","35.47945628","129.0897811","성천마을회관 앞","하북안전센터","N","Y","2017","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-052","01","경상남도","양산시","48330","경상남도 양산시 하북면 삼리길 106-20","경상남도 양산시 하북면 용연리 1169-5","35.44616425","129.0843749","용연낚시터 옆","하북안전센터","N","Y","2014","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-051","01","경상남도","양산시","48330","경상남도 양산시 하북면 삼리1길 31-9","경상남도 양산시 하북면 용연리 1175-4","35.44509732","129.0822128","용연낚시터 옆","하북안전센터","N","Y","2014","1","3.4","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-050","01","경상남도","양산시","48330","경상남도 양산시 상북면 신대석길 9","경상남도 양산시 상북면 대석리 1339-5","35.39053567","129.0586753","SC종합렌탈기획 옆","하북안전센터","N","Y","2014","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-049","01","경상남도","양산시","48330","경상남도 양산시 상북면 신대석길 19","경상남도 양산시 상북면 대석리 1339-1","35.39138169","129.0588184","들꽃마당 옆","하북안전센터","N","Y","2014","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-048","01","경상남도","양산시","48330","경상남도 양산시 상북면 신대석길 36","경상남도 양산시 상북면 대석리 1342-7","35.39093787","129.0600895","주택 뒤 도로 펜스 뒤편","하북안전센터","N","Y","2014","1","3.1","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-047","01","경상남도","양산시","48330","경상남도 양산시 상북면 신대석길 47","경상남도 양산시 상북면 대석리 1344-1","35.39014079","129.0595062284","홍룡사 원효암 갈리는길 좌측택지 입구","하북안전센터","N","Y","2014","1","3.2","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-046","01","경상남도","양산시","48330","경상남도 양산시 상북면 민등대길 6","경상남도 양산시 상북면 대석리 808 휴먼시아아파트","35.39291054","129.0515123","휴먼시아아파트 후문 입구","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-045","01","경상남도","양산시","48330","경상남도 양산시 상북면 어곡터널로 207","경상남도 양산시 상북면 소토리 543-10 영광복국","35.38058837","129.0479244","새진흥아파트 입구","하북안전센터","N","Y","2002","1","3.4","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-044","01","경상남도","양산시","48330","경상남도 양산시 하북면 월평1길 37","경상남도 양산시 하북면 순지리 264 동암가마솥김치삼겹","35.49651903","129.0907393","지경고개삼거리 (동암식당 앞)","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-029","01","경상남도","양산시","48330","경상남도 양산시 동면 금오15길 9","경상남도 양산시 동면 석산리 1451-3 양산신도시2차동원로얄듀크","35.31766506","129.0250382","동원로얄2차 107동 뒤( 양산시 동면 금오15길 9)","중부안전센터","N","Y","2007","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-028","01","경상남도","양산시","48330","경상남도 양산시 동면 금오15길 65","경상남도 양산시 동면 석산리 1524","35.3184374496","129.0211799543","e편한세상4차 115동 뒤(양산시 동면 금오15길 65)","중부안전센터","N","Y","2007","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-027","01","경상남도","양산시","48330","경상남도 양산시 동면 강변로","경상남도 양산시 동면 석산리 666-8","35.3231260767","129.0222652027","고속도로 다리 밑(양산시 동면 강변로)","중부안전센터","N","Y","2007","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-026","01","경상남도","양산시","48330","경상남도 양산시 동면 금오16길","경상남도 양산시 동면 석산리 1448-2 e편한세상 남양산","35.32127411","129.028516","석산이편한세상1차 114동옆 도로( 양산시 동면 금오16길)","중부안전센터","N","Y","2007","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-025","01","경상남도","양산시","48330","경상남도 양산시 동면 금오16길","경상남도 양산시 동면 석산리 1448-2 e편한세상 남양산","35.32127411","129.028516","석산초등학교 인근 공원앞 도로( 양산시 동면 금오16길)","중부안전센터","N","Y","2007","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-024","01","경상남도","양산시","48330","경상남도 양산시 동면 금오13길 56","경상남도 양산시 동면 석산리 1449-1","35.32044105","129.0246818975","남양산이편한세상 206동 맞은편( 양산시 동면 금오13길 56)","중부안전센터","N","Y","2007","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-023","01","경상남도","양산시","48330","경상남도 양산시 동면 금오13길 46","경상남도 양산시 동면 석산리 1449-6","35.3199119164","129.0253200655","반도유보라6차610동 앞( 양산시 동면 금오13길 46)","중부안전센터","N","Y","2007","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-039","01","경상남도","양산시","48330","경상남도 양산시 하북면 용연로 97","경상남도 양산시 하북면 백록리 1267-2","35.44788925","129.0745529","내원사 주유소 건너편","하북안전센터","N","Y","2002","1","3.4","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"4-1-038","01","경상남도","양산시","48330","경상남도 양산시 상북면 상북중앙로 26","경상남도 양산시 상북면 소토리 916-26","35.38699932","129.0528394","양산세관 앞","하북안전센터","N","Y","2002","1","3.3","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-021","01","경상남도","양산시","48330","경상남도 양산시 동면 금오16길 65","경상남도 양산시 동면 석산리 1448-2 e편한세상 남양산","35.32130513","129.028516","이편한세상 102동 뒤(양산시 동면 금오16길65)","중부안전센터","N","Y","2007","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-020","01","경상남도","양산시","48330","경상남도 양산시 동면 금오16길 65","경상남도 양산시 동면 석산리 1448-2 e편한세상 남양산","35.32130513","129.028516","이편한세상 108동 뒤(양산시 동면 금오16길 65)","중부안전센터","N","Y","2007","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-019","01","경상남도","양산시","48330","경상남도 양산시 동면 금오16길 65","경상남도 양산시 동면 석산리 1448-2 e편한세상 남양산","35.32130513","129.028516","이편한세상 아파트 114동 뒤(양산시 동면 금오16길 65)","중부안전센터","N","Y","2007","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-017","01","경상남도","양산시","48330","경상남도 양산시 동면 남양산1길 58","경상남도 양산시 동면 석산리 1440-2 양산고용노동지청","35.32481172","129.0300166","고용노동부 양산지청(양산시 동면 남양산1길 58)","중부안전센터","N","Y","2002","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-016","01","경상남도","양산시","48330","경상남도 양산시 동면 남양산길 33","경상남도 양산시 동면 석산리 1420-3 수경유조","35.32807696","129.030923","양산자동차종합정비 앞 ( 양산시 동면 남양산길 33)","중부안전센터","N","Y","2002","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-015","01","경상남도","양산시","48330","경상남도 양산시 동면 남양산길 17","경상남도 양산시 동면 석산리 1420-11 남양산대형트럭매매상사","35.32815393","129.0324638","양산대형트럭매매상( 양산시 동면 남양산길 17)","중부안전센터","N","Y","2002","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-014","01","경상남도","양산시","48330","경상남도 양산시 동면 남양산 1길18","경상남도 양산시 동면 석산리 1421-4","35.32712347","129.0327999","KT&amp;G 양산지점 앞 (양산시 동면 남양산 1길18)","중부안전센터","N","Y","2002","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-013","01","경상남도","양산시","48330","경상남도 양산시 동면 남양산1길 58","경상남도 양산시 동면 석산리 1440-2 양산고용노동지청","35.32481172","129.0300166","고용노동부 양산지청(양산시 동면 남양산1길 58)","중부안전센터","N","Y","2002","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-012","01","경상남도","양산시","48330","경상남도 양산시 동면 남양산2길 26","경상남도 양산시 동면 석산리 1423-1","35.32688814","129.0306829","남양산운전학원( 양산시 동면 남양산2길 26)","중부안전센터","N","Y","2002","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-011","01","경상남도","양산시","48330","경상남도 양산시 동면 남양산길 7","경상남도 양산시 동면 석산리 1421-9 맥도날드","35.32801055","129.0334189","맥도날드(양산시 동면 남양산길 7)","중부안전센터","N","Y","2002","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-010","01","경상남도","양산시","48330","경상남도 양산시 동면 남양산2길 38","경상남도 양산시 동면 석산리 1423-3","35.32654552","129.0289766","스카니아 양산센터( 양산시 동면 남양산2길 38)","중부안전센터","N","Y","2002","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-009","01","경상남도","양산시","48330","경상남도 양산시 동면 석산4길 6-18","경상남도 양산시 동면 석산리 876-1","35.31545067","129.0317523","해강아파트( 양산시 동면 석산4길 6-18)","중부안전센터","N","Y","1996","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-008","01","경상남도","양산시","48330","경상남도 양산시 동면 곡리3길 3","경상남도 양산시 동면 석산리 880-36","35.3179257","129.0299797","곡리마을 입구 표석( 양산시 동면 곡리3길 3)","중부안전센터","N","Y","1996","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-007","01","경상남도","양산시","48330","경상남도 양산시 동면 석산5길 5","경상남도 양산시 동면 석산리 701-8 석산해강아파트","35.31536198","129.0293028","해강아파트(양산시 동면 석산5길 5)","중부안전센터","N","Y","1996","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-006","01","경상남도","양산시","48330","경상남도 양산시 동면 양산대로 346","경상남도 양산시 동면 금산리 758-6","35.30394385","129.0264508","동산초등학교(양산시 동면 양산대로 346)","중부안전센터","N","Y","1996","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-005","01","경상남도","양산시","48330","경상남도 양산시 동면 내송로 27","경상남도 양산시 동면 내송리 727-4","35.32365717","129.0604191","내송주유소(양산시 동면 내송로 27)","중부안전센터","N","Y","2002","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-004","01","경상남도","양산시","48330","경상남도 양산시 동면 남양산길 73","경상남도 양산시 동면 석산리 1442 양산장례식장","35.3253335","129.0275257","양산장례식장( 양산시 동면 남양산길 73)","중부안전센터","N","Y","2002","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
"5-1-003","01","경상남도","양산시","48330","경상남도 양산시 동면 남양산2길 60","경상남도 양산시 동면 석산리 1439-6","35.32484155","129.0278432","풍물기행 가구점( 양산시 동면 남양산2길 60)","중부안전센터","N","Y","2002","1","3.5","65","양산소방서","055-379-9284","2019-09-19","5380000","경상남도 양산시"
